sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10
20.970524178373665,11.53887025794474,22.08430627332901,0,1.0536081687579075,44.16861254665801,27.996231855801373,1.0536081687579075,36.35114485217054,1.0536081687579075
20.970524178373665,30.75597742387457,22.08430627332901,0,1.0536081687579075,100.16107625826075,47.65354177695906,20.396015269295404,95.03648566106727,11.53887025794474
82.62697373634435,48.931549849959836,22.08430627332901,0,56.89893451879135,200.52695676818226,70.24644125487885,25.575996346584986,122.89476374727244,44.27665303092692
181.93658397373184,87.29334381174975,22.08430627332901,0,75.22172089480627,200.52695676818226,70.24644125487885,93.73742843502382,160.67145143505937,109.06253648736795
248.05587373349448,156.59807565668007,22.08430627332901,0,75.22172089480627,261.7916282000636,70.24644125487885,178.63389041895084,180.32876135621706,122.86795599719557
258.421435839483,204.5429102321786,29.2201723900004,0,75.22172089480627,318.3482749175082,86.20611744393548,183.04673000747607,185.51154240921133,155.5852642505139
448.6177261803029,246.24971385569532,66.9324214569657,0,75.22172089480627,318.3482749175082,86.20611744393548,221.54701895017018,185.51154240921133,165.6740155338535
545.4802597209258,276.0583689282831,66.9324214569657,0,75.22172089480627,384.81402153424546,86.20611744393548,270.20019419392213,247.37681427125264,194.66988085644778
578.0232401591011,402.08915002971366,66.9324214569657,0,75.22172089480627,460.238519668176,86.20611744393548,283.9839452095196,291.4967618131474,228.11094179320295
620.5824970467847,402.08915002971366,139.7831727573351,0,97.928653296213,563.0728719849385,100.9138901580438,283.9839452095196,314.59230411887535,228.11094179320295
728.6421261403518,425.18469233544164,139.7831727573351,0,104.25708131046113,629.0873261477852,102.14187561295051,349.74442826942203,324.76071315704854,250.8178741946097
821.0527189590339,425.9821792456982,139.7831727573351,0,104.25708131046113,727.2476047045693,102.76550367301252,395.54690297655674,353.06518182184163,338.0689745475603
914.5028675784259,502.7189261938886,181.45766585752222,0,104.25708131046113,801.7573697787034,102.76550367301252,395.54690297655674,381.47671948119614,345.20484066423165
914.5028675784259,551.3778081747934,181.45766585752222,0,166.12235317250244,862.5915747106808,156.79531821979614,489.029184827246,381.47671948119614,347.10727448226515
959.0835150712962,551.3778081747934,181.45766585752222,0,166.12235317250244,862.5915747106808,174.6961459643441,519.5324473000029,384.1508148392349,347.10727448226515
1031.9588635435384,586.4882277620583,181.45766585752222,0,166.12235317250244,867.6757792297674,188.79602686095205,539.3468389743043,384.1508148392349,351.3015775501313
1067.6542907495584,610.6995349994166,198.54071605808417,0,166.12235317250244,917.0979914955699,188.79602686095205,579.6037193845358,384.1508148392349,351.3015775501313
1146.903057376726,658.7026195078685,214.31155363557613,0,167.6425608823298,917.0979914955699,204.56686443844401,635.1469367937457,453.7741687641313,389.4301782744898
1306.1827116103184,736.4425049850638,214.31155363557613,0,167.6425608823298,994.8378769727651,244.19124775202795,674.7713201073296,476.481101165538,413.4317205287157
1406.0812785116552,738.3121809841109,214.31155363557613,0,200.68695708760168,1060.9715681453902,282.3067499156393,674.7713201073296,493.42881771826893,453.0561038422996
1489.2473273052772,788.2614644347793,214.31155363557613,0,200.68695708760168,1110.9208515960586,284.1764259146864,714.756498269988,493.42881771826893,453.0561038422996
1535.6620527815028,837.012572123117,264.2608370862445,0,279.9357237147695,1152.8093674616198,323.63210176917204,714.756498269988,493.42881771826893,453.0561038422996
1653.2729369349806,860.2199348612297,281.73895983201754,0,279.9357237147695,1176.0167301997326,346.83946450728473,843.9383812749322,493.42881771826893,467.3922704253531
1770.8993753683292,919.0253769379684,284.2771524434046,0,294.271890297823,1237.3603648878586,346.83946450728473,880.8842956054356,493.42881771826893,467.3922704253531
1896.8121447508493,953.8370539004165,284.2771524434046,0,294.271890297823,1354.9868033212072,405.6449065840235,904.0916583435483,540.4407165972768,490.5996331634658
1986.9946332654977,1011.3532911257389,284.2771524434046,0,340.6866157740484,1406.4380097000762,405.6449065840235,960.3589078089,540.4407165972768,490.5996331634658
2083.0785560697345,1073.3898611613918,335.72835882227355,0,340.6866157740484,1451.5292539574004,425.83128957320065,1000.2469699941221,540.4407165972768,490.5996331634658
2196.8013346761545,1121.4318225635104,335.72835882227355,0,340.6866157740484,1499.571215359519,450.7361508413477,1046.248374570421,561.8320922174635,548.421666750696
2333.664357107821,1164.2145738038837,405.16169584457884,0,363.69697239883027,1545.7369168526357,450.7361508413477,1120.5117921054327,561.8320922174635,548.421666750696
2431.043472664937,1215.6762281371218,405.16169584457884,0,383.88335538800743,1632.6080646391483,475.5104767142775,1205.7745322987566,564.0817068348076,593.5129110080203
