sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0
1,1,0,1,0,0,0,0
1,1,0,1,0,0,1,0
1,1,0,1,1,0,1,0
1,1,0,2,1,0,3,0
1,1,0,2,2,0,4,0
2,1,1,2,2,0,5,3
2,1,1,2,3,1,5,3
2,1,1,2,3,1,5,4
2,1,1,2,3,1,5,5
2,1,1,3,3,1,6,5
2,1,1,4,3,2,7,5
2,1,1,4,4,2,7,5
2,2,1,4,4,2,8,5
2,2,3,4,4,2,11,6
2,2,4,4,5,2,11,7
2,2,4,5,5,2,12,7
2,2,4,6,5,2,13,7
2,2,4,7,5,2,13,9
2,2,4,7,6,3,14,9
2,2,5,8,6,3,14,10
2,3,6,8,7,3,16,11
2,3,6,10,7,3,16,11
2,3,7,11,7,3,16,13
3,3,7,11,7,3,18,14
4,3,7,11,8,4,18,14
4,4,7,12,8,4,18,15
5,4,8,14,8,4,18,16
5,4,8,14,8,4,19,16
5,4,8,15,8,4,20,16
5,5,9,16,9,4,20,17
6,5,11,17,9,4,21,18
7,5,11,18,10,4,21,19
8,5,12,18,11,5,22,20
8,5,13,19,11,5,23,21
8,5,13,20,12,5,24,22
10,5,14,20,12,5,24,23
11,5,15,20,12,5,24,24
11,5,15,21,12,5,24,24
12,5,16,22,12,5,24,24
13,7,18,22,15,5,24,25
13,7,18,24,16,6,24,26
13,7,20,24,16,6,24,28
13,7,20,25,16,6,26,29
13,7,20,25,16,6,26,29
13,8,20,26,16,6,27,29
13,8,20,26,16,6,29,29
13,9,21,27,17,6,30,30
15,9,21,28,17,6,30,30
17,10,22,28,17,6,31,31
18,10,22,29,19,6,32,31
18,10,22,29,19,6,33,31
19,10,23,29,19,6,34,31
20,10,24,29,19,6,35,33
21,11,24,30,19,6,35,34
22,11,24,31,19,6,36,35
22,12,25,33,22,6,38,37
22,12,26,34,22,6,40,38
22,12,26,34,24,8,40,39
22,12,26,35,24,9,40,40
23,12,27,35,25,10,41,43
23,12,27,35,26,11,41,44
24,12,28,35,28,12,42,47
25,12,29,36,28,13,43,47
28,12,32,36,28,13,43,50
29,12,33,36,30,14,43,53
30,12,34,36,31,14,43,54
31,12,36,36,32,14,43,54
32,13,36,37,33,14,44,54
33,13,37,37,33,14,45,57
33,13,37,37,33,15,47,57
35,13,37,37,33,15,48,57
37,13,37,38,33,15,49,58
38,13,37,38,33,15,49,59
39,13,39,38,33,15,49,62
40,13,40,40,33,16,49,63
40,13,41,40,33,17,49,63
40,13,43,40,34,17,49,64
40,13,43,41,35,17,50,65
40,15,45,41,35,18,51,67
41,15,45,42,35,18,53,68
41,16,45,42,35,18,55,68
43,16,46,42,35,19,56,69
45,16,46,42,38,19,56,69
46,16,48,42,38,19,56,70
46,16,48,42,40,20,56,71
46,16,49,42,41,20,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
46,16,49,42,43,21,56,72
