sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,1
0,0,1,1,0,0,0,1
0,0,1,1,0,0,0,1
0,0,1,1,0,0,1,1
0,0,1,1,0,0,1,1
0,0,1,1,0,1,1,1
0,0,1,1,0,1,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,1
0,0,1,1,0,2,1,2
0,0,1,1,0,2,1,2
0,0,1,2,0,2,1,2
0,0,1,2,0,2,1,2
0,0,1,2,0,2,1,2
0,0,1,2,0,2,1,2
0,0,1,2,0,2,1,2
0,0,1,2,0,2,1,2
0,0,1,2,0,2,1,3
0,0,1,2,0,2,1,3
0,0,1,2,0,2,1,3
0,0,1,2,0,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
0,0,1,2,1,2,1,3
